code,p,trials,information_bits,ber
1/2,0.000000,200,1500,0.000000
1/2,0.010000,200,1500,0.000047
1/2,0.020000,200,1500,0.000363
1/2,0.030000,200,1500,0.001623
1/2,0.040000,200,1500,0.003803
1/2,0.050000,200,1500,0.007373
1/2,0.060000,200,1500,0.014513
1/2,0.070000,200,1500,0.022180
1/2,0.080000,200,1500,0.035207
1/2,0.090000,200,1500,0.046707
1/2,0.100000,200,1500,0.064777
1/2,0.110000,200,1500,0.083177
1/2,0.120000,200,1500,0.104380
1/2,0.130000,200,1500,0.128113
1/2,0.140000,200,1500,0.150563
1/2,0.150000,200,1500,0.176013
1/2,0.160000,200,1500,0.201413
1/2,0.170000,200,1500,0.224043
1/2,0.180000,200,1500,0.249117
1/2,0.190000,200,1500,0.270153
1/2,0.200000,200,1500,0.292950
1/2,0.210000,200,1500,0.311120
1/2,0.220000,200,1500,0.333050
1/2,0.230000,200,1500,0.348147
1/2,0.240000,200,1500,0.367507
1/2,0.250000,200,1500,0.376517
1/2,0.260000,200,1500,0.389577
1/2,0.270000,200,1500,0.406343
1/2,0.280000,200,1500,0.414693
1/2,0.290000,200,1500,0.427250
1/2,0.300000,200,1500,0.435523
1/5,0.000000,200,1500,0.000000
1/5,0.010000,200,1500,0.000000
1/5,0.020000,200,1500,0.000000
1/5,0.030000,200,1500,0.000000
1/5,0.040000,200,1500,0.000000
1/5,0.050000,200,1500,0.000000
1/5,0.060000,200,1500,0.000000
1/5,0.070000,200,1500,0.000000
1/5,0.080000,200,1500,0.000027
1/5,0.090000,200,1500,0.000017
1/5,0.100000,200,1500,0.000033
1/5,0.110000,200,1500,0.000093
1/5,0.120000,200,1500,0.000203
1/5,0.130000,200,1500,0.000637
1/5,0.140000,200,1500,0.001263
1/5,0.150000,200,1500,0.002097
1/5,0.160000,200,1500,0.004713
1/5,0.170000,200,1500,0.007603
1/5,0.180000,200,1500,0.012727
1/5,0.190000,200,1500,0.019807
1/5,0.200000,200,1500,0.030080
1/5,0.210000,200,1500,0.045817
1/5,0.220000,200,1500,0.062617
1/5,0.230000,200,1500,0.087913
1/5,0.240000,200,1500,0.113697
1/5,0.250000,200,1500,0.149840
1/5,0.260000,200,1500,0.184380
1/5,0.270000,200,1500,0.221830
1/5,0.280000,200,1500,0.257463
1/5,0.290000,200,1500,0.290470
1/5,0.300000,200,1500,0.322410
2/3,0.000000,200,1500,0.000000
2/3,0.010000,200,1500,0.002033
2/3,0.020000,200,1500,0.007033
2/3,0.030000,200,1500,0.018087
2/3,0.040000,200,1500,0.033057
2/3,0.050000,200,1500,0.049480
2/3,0.060000,200,1500,0.067680
2/3,0.070000,200,1500,0.090530
2/3,0.080000,200,1500,0.117213
2/3,0.090000,200,1500,0.142457
2/3,0.100000,200,1500,0.164713
2/3,0.110000,200,1500,0.190527
2/3,0.120000,200,1500,0.215440
2/3,0.130000,200,1500,0.240917
2/3,0.140000,200,1500,0.257487
2/3,0.150000,200,1500,0.282443
2/3,0.160000,200,1500,0.299230
2/3,0.170000,200,1500,0.319927
2/3,0.180000,200,1500,0.340320
2/3,0.190000,200,1500,0.354100
2/3,0.200000,200,1500,0.368647
2/3,0.210000,200,1500,0.380630
2/3,0.220000,200,1500,0.392653
2/3,0.230000,200,1500,0.404163
2/3,0.240000,200,1500,0.414367
2/3,0.250000,200,1500,0.424360
2/3,0.260000,200,1500,0.431703
2/3,0.270000,200,1500,0.437440
2/3,0.280000,200,1500,0.448013
2/3,0.290000,200,1500,0.453543
2/3,0.300000,200,1500,0.459157
